Local: ,01-Jan-00,08:01:49 AM,tz_sec ,0
Linux Epoch (ms): ,946684909000
Epoch Delta TS,X,Y,Z,Magnitude
28815815,-95,143,184,251.654525093
28815856,-88,145,183,249.515530579
28815896,-89,139,182,245.694932793
28815937,-89,145,179,246.955461572
28815977,-88,143,182,247.62269686
28816017,-97,147,180,251.82930727
28816058,-88,140,179,243.690377323
28816098,-88,142,185,249.264919313
28816139,-92,147,182,251.390135049
28816179,-96,145,188,256.095685243
28816220,-100,147,189,259.48024973
28816261,-96,143,189,255.70686342
28816301,-90,145,188,253.907463459
28816342,-92,145,184,251.684326091
28816382,-92,145,184,251.684326091
28816423,-90,144,184,250.38370554
28816463,-98,144,184,253.369295693
28816504,-89,147,192,257.670332014
28816545,-84,143,183,246.969633761
28816585,-103,143,184,254.782259979
28816626,-95,143,184,251.654525093
28816666,-104,144,183,255.031370619
28816707,-97,140,183,249.995999968
28816747,-89,143,185,250.189927855
28816788,-97,140,184,250.728937301
28816829,-96,143,191,257.188646717
28816869,-101,140,175,245.817005107
28816910,-96,143,187,254.23217735
28816950,-87,143,188,251.71809629
28816991,-97,137,188,252.035711755
28817031,-97,140,187,252.938727758
28817071,-98,142,185,252.96837747
28817112,-100,140,183,251.175237633
28817152,-93,141,182,248.302235189
28817193,-98,142,184,252.237982865
28817233,-96,141,188,253.852319272
28817274,-89,142,188,251.851146513
28817314,-97,143,190,256.822896176
28817355,-98,143,188,255.728371519
28817396,-93,144,188,254.418945835
28817436,-96,143,184,252.033727902
28817477,-93,143,179,247.263017858
28817517,-90,143,182,248.340492067
28817558,-89,140,188,250.728937301
28817599,-99,144,182,252.31131564
28817639,-95,140,184,249.961997112
28817680,-85,142,182,245.993902363
28817720,-95,143,180,248.744849193
28817761,-98,143,177,247.753910161
28817801,-100,143,184,253.584305508
28817842,-89,143,184,249.451398072
28817883,-88,142,179,244.844848833
28817923,-93,148,192,259.647838427
28817964,-98,142,187,254.434667449
28818003,-100,143,188,256.501461984
28818044,-90,137,187,248.672475357
28818084,-92,147,185,253.570503016
28818125,-97,147,191,259.805696627
28818166,-97,143,188,255.346822968
28818206,-85,142,183,246.734675309
28818247,-89,147,182,250.307810505
28818287,-95,139,183,248.666443253
28818328,-82,147,184,249.377224301
28818368,-92,147,186,254.301002751
28818409,-90,143,188,252.77064703
28818450,-97,144,188,255.908186661
28818490,-98,145,184,253.938969046
28818531,-89,139,184,247.180096286
28818571,-87,140,185,247.778126557
28818612,-99,144,184,253.757758502
28818653,-97,147,185,255.427093316
28818693,-97,140,185,251.463715076
28818734,-93,139,188,251.622733472
28818774,-93,142,190,254.780297511
28818815,-92,144,182,249.647751842
28818855,-96,143,188,254.968625521
28818896,-93,144,188,254.418945835
28818937,-97,143,184,252.416322769
28818977,-92,144,191,256.28304665
28819017,-97,140,188,253.678930934
28819057,-88,141,186,249.441375878
28819098,-102,144,189,258.574940781
28819138,-95,147,190,258.32924728
28819179,-88,144,191,254.874478911
28819220,-87,147,192,256.986380962
28819260,-93,141,191,254.972547542
28819301,-100,144,180,251.268780393
28819341,-87,144,187,251.54323684
28819382,-89,142,183,248.141088899
28819422,-93,139,180,245.703072834
28819463,-96,139,188,252.746908982
28819504,-84,144,192,254.275441205
28819544,-88,145,184,250.249875125
28819585,-90,143,187,252.027776247
28819625,-89,139,188,250.171940873
28819666,-92,144,186,252.578700606
28819707,-89,145,185,251.338417278
28819747,-89,142,187,251.105555494
28819788,-88,139,187,249.066256245
28819828,-92,143,192,256.470271182
28819869,-90,140,183,247.364104106
28819909,-89,143,184,249.451398072
28819950,-92,143,184,250.537422354
28819991,-87,137,184,245.344655536
28820030,-90,141,190,253.142252498
28820071,-87,143,182,247.269084198
28820111,-87,139,190,250.978086693
28820152,-88,144,185,250.40966435
28820192,-93,143,177,245.819039132
28820233,-101,140,188,255.235185662
28820274,-92,142,187,252.184456301
28820314,-92,140,183,248.098770654
28820355,-97,142,188,254.788147291
28820395,-90,143,185,250.547400705
28820436,-88,140,188,250.375717672
28820476,-95,142,184,251.087634104
28820517,-90,140,184,248.104816559
28820558,-98,142,190,256.647618341
28820598,-89,143,188,252.416322769
28820639,-93,140,184,249.20874784
28820679,-96,143,192,257.932161624
28820720,-97,143,191,257.563584383
28820761,-101,139,191,256.910490249
28820801,-90,145,190,255.391855782
28820842,-89,140,190,252.23203603
28820882,-92,142,191,255.164652724
28820923,-95,143,184,251.654525093
28820963,-90,142,183,248.50150905
28821003,-100,140,188,254.841126979
28821044,-87,143,190,253.215323391
28821084,-95,143,188,254.593794111
28821125,-85,140,188,249.337121183
28821165,-87,141,184,247.600484652
28821206,-100,144,188,257.060304209
28821246,-87,143,190,253.215323391
28821287,-95,142,184,251.087634104
28821328,-100,143,185,254.31083343
28821368,-97,145,188,256.472220718
28821409,-93,143,184,250.906357034
28821449,-96,143,185,252.764712727
28821490,-97,140,184,250.728937301
28821531,-93,143,188,253.854288914
28821571,-93,143,184,250.906357034
28821612,-98,147,186,256.532648994
28821652,-101,148,190,261.160869963
28821693,-93,143,184,250.906357034
28821733,-97,143,192,258.306020061
28821774,-93,143,184,250.906357034
28821815,-92,143,183,249.803923108
28821855,-89,143,184,249.451398072
28821896,-93,143,188,253.854288914
28821936,-101,145,187,257.283889896
28821977,-97,139,190,254.617359974
28822016,-90,139,182,246.05893603
