Local: ,18-Oct-24,02:55:32 PM,tz_sec ,28800
Linux Epoch (ms): ,1729234532000
Epoch Delta TS,X,Y,Z,Magnitude
6802,141,8,216,258.071695465
6822,140,6,208,250.79872408
6842,150,3,211,258.901525681
6863,147,7,214,259.719079007
6883,147,7,209,255.61494479
6903,140,7,216,257.497572804
6923,145,7,211,256.115208451
6944,146,12,214,259.337617788
6964,147,7,211,257.25279396
6984,147,7,217,262.196491205
7004,145,7,217,261.080447372
7024,137,3,212,252.432169107
7044,140,8,220,260.890781746
7065,156,7,211,262.499523809
7085,145,8,220,263.607663015
7105,140,6,212,254.125953023
7125,147,6,214,259.69405076
7146,150,8,211,259.007721893
7166,151,11,213,261.325467569
7186,148,9,217,262.819329578
7207,148,6,219,264.387972495
7227,143,7,212,255.816340369
7247,137,7,219,258.416330753
7267,137,7,215,255.035291675
7288,143,3,216,259.063698731
7308,150,3,214,261.352252717
7328,151,7,214,262.003816766
7349,151,9,216,263.700587788
7369,140,7,219,260.019230058
7389,145,3,211,256.037106686
7409,143,8,216,259.169828491
7430,136,7,211,251.129448691
7450,143,9,216,259.202623444
7470,147,4,213,258.83199184
7491,140,9,216,257.559701817
7511,150,6,211,258.953663809
7531,147,10,216,261.467015128
7551,148,12,217,262.93915646
7572,151,6,214,261.979006793
7592,152,6,212,260.929109147
7612,148,7,211,257.825522398
7633,145,7,216,260.249879923
7653,150,3,211,258.901525681
7673,151,1,212,260.280617795
7693,134,8,216,254.314765596
7714,151,7,215,262.821232019
7734,150,6,212,259.769128266
7754,143,3,214,257.398523694
7775,151,7,214,262.003816766
7795,143,0,216,259.046327903
7815,142,11,216,258.729588567
7835,140,7,209,251.654525093
7856,147,-1,209,255.521036316
7876,153,14,211,261.009578368
7896,153,7,211,260.727827437
7917,153,11,216,264.926404875
7937,140,5,215,256.612548407
7957,144,6,216,259.669020101
7978,143,7,217,259.974998798
7998,150,6,215,262.223187381
8017,147,3,210,256.355222299
8037,150,8,214,261.457453518
8058,151,9,216,263.700587788
8078,148,8,216,261.961829281
8098,146,8,214,259.183332797
8119,151,7,209,257.936038583
8139,145,6,216,260.224902728
8159,144,7,214,258.032943633
8179,151,4,209,257.872061302
8200,148,7,215,261.10917257
8220,144,12,219,262.375684849
8240,144,-1,209,253.807013299
8261,148,7,214,260.286380742
8281,142,5,220,261.895017135
8301,152,11,214,262.718480507
8321,147,8,217,262.225094146
8342,142,6,209,252.746908982
8362,150,11,209,257.491747441
8382,148,6,218,263.560239793
8403,147,10,214,259.817243462
8423,143,8,216,259.169828491
8443,139,7,215,256.115208451
8463,145,8,219,262.773666869
8484,147,3,216,261.292939055
8504,145,10,216,260.347844239
8524,136,4,212,251.904743901
8545,150,-1,209,257.258624734
8565,151,11,215,262.958171579
8585,143,12,215,258.491779366
8605,150,8,211,259.007721893
8626,148,4,208,255.311574356
8646,150,4,214,261.365644261
8666,147,6,216,261.344600097
8687,138,9,216,256.478069238
8707,140,3,217,258.259559358
8727,145,7,211,256.115208451
8747,147,3,207,253.903524985
8768,148,8,216,261.961829281
8788,155,3,216,265.875910906
8808,144,8,214,258.062008052
8829,143,7,216,259.140888321
8849,148,4,211,257.761517686
8869,145,7,217,261.080447372
8889,151,9,211,259.620877435
8910,155,8,208,259.524565311
8930,140,11,214,255.962887935
8950,140,7,212,254.151529604
8971,145,4,216,260.186471593
8991,147,9,214,259.780676726
9010,151,3,215,262.745123646
9031,147,3,208,254.719453517
9051,151,3,211,259.482176652
9071,140,-1,216,257.404351168
9091,137,7,214,254.192840182
9112,148,7,212,258.644543727
9132,143,4,216,259.077208569
9152,148,6,214,260.261407051
9173,152,9,211,260.203766306
9193,152,7,212,260.954018938
9213,150,8,214,261.457453518
9234,143,7,219,261.646708368
9254,136,8,214,253.684843852
9274,148,6,212,258.619411491
9294,140,7,215,256.659307254
9315,140,6,216,257.47232861
9335,148,7,212,258.644543727
9355,136,9,207,247.842692045
9375,147,5,216,261.323554239
9396,151,7,216,263.639905932
9416,140,7,217,258.336989221
9436,151,7,209,257.936038583
9457,135,12,214,253.30811278
9477,148,7,211,257.825522398
